q0,q1,q2,q3,q4,q5,q6,q7,bitstring
0,1,1,1,0,1,1,1,01110111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,1,00000001
1,0,0,0,1,0,0,0,10001000
0,0,0,0,0,0,0,0,00000000
1,0,0,0,1,0,0,0,10001000
1,1,1,1,1,1,1,1,11111111
0,0,0,1,0,0,0,0,00010000
1,1,1,1,1,1,1,1,11111111
1,0,0,1,1,1,1,1,10011111
0,0,0,0,1,1,0,0,00001100
1,1,0,0,1,1,0,0,11001100
0,1,1,1,1,1,1,1,01111111
0,0,0,0,0,0,0,0,00000000
1,0,0,0,0,0,0,0,10000000
1,1,1,1,1,1,1,1,11111111
1,1,0,0,1,1,0,0,11001100
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,1,0,0,0,00001000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,0,0,1,1,0,0,0,10011000
0,0,0,0,0,0,0,1,00000001
0,1,1,1,0,1,0,1,01110101
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,0,1,0,0,0,0,00010000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,0,1,1,1,1,1,1,10111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,1,00000001
1,1,1,0,0,0,0,0,11100000
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,0,0,1,1,0,0,11001100
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,1,0,0,00000100
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,1,1,00000011
0,0,0,0,0,0,0,0,00000000
1,1,1,0,1,0,1,1,11101011
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,0,11111110
1,1,1,1,1,1,1,1,11111111
0,0,0,1,0,0,0,0,00010000
1,1,0,0,1,0,0,0,11001000
1,1,1,1,1,1,1,1,11111111
1,0,0,0,1,0,1,0,10001010
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,0,0,1,1,1,1,11001111
0,1,1,1,0,1,1,1,01110111
1,1,1,1,1,1,1,1,11111111
1,0,0,1,1,1,1,1,10011111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,0,0,0,1,0,0,0,10001000
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,0,0,0,0,0,1,0,10000010
0,0,1,1,0,1,1,0,00110110
0,0,1,1,0,0,1,0,00110010
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,1,0,0,0,0,00010000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,1,1,0,0,1,1,00110011
0,0,1,1,0,0,0,0,00110000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,0,11111110
0,0,1,0,0,0,0,0,00100000
1,0,0,0,0,0,0,0,10000000
1,1,1,0,1,1,1,1,11101111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,0,0,1,1,1,0,11001110
1,1,0,0,1,0,0,0,11001000
0,1,1,1,0,0,1,1,01110011
0,0,0,0,0,0,0,0,00000000
1,0,0,1,1,1,1,0,10011110
0,0,0,0,0,0,0,0,00000000
0,1,1,1,0,0,0,1,01110001
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,1,1,00000011
0,0,0,0,0,0,0,0,00000000
1,0,0,0,0,0,0,0,10000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,1,0,0,0,0,00010000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,1,1,0,0,1,1,00110011
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,1,0,0,0,1,00010001
1,1,1,1,1,1,1,1,11111111
0,1,0,0,0,0,0,0,01000000
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,0,1,1,1,11110111
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,0,1,1,1,0,11101110
0,0,0,0,0,0,0,0,00000000
0,0,1,1,0,0,1,1,00110011
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,1,1,0,0,0,0,00110000
1,0,0,0,1,0,0,0,10001000
0,1,0,1,1,1,1,0,01011110
1,1,1,1,1,1,1,0,11111110
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,1,00000001
1,1,1,0,1,1,1,0,11101110
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,0,0,0,0,00000000
1,0,0,0,1,0,0,0,10001000
0,1,1,1,0,1,1,1,01110111
1,1,1,1,1,1,1,1,11111111
1,0,0,0,1,1,1,1,10001111
0,1,1,0,0,1,1,0,01100110
1,1,0,0,0,0,0,0,11000000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,0,1,1,1,0,11101110
1,1,1,1,1,1,1,1,11111111
0,0,0,1,0,0,0,0,00010000
0,0,0,0,0,0,0,0,00000000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
0,0,1,1,0,0,1,1,00110011
1,1,1,1,1,1,1,1,11111111
0,0,0,0,0,0,0,0,00000000
1,1,1,0,1,1,1,1,11101111
0,0,0,0,0,0,0,0,00000000
0,0,0,0,1,0,0,0,00001000
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
1,1,1,1,1,1,1,1,11111111
